id,origin,obs_date,sps_comm,sps,reg_id,taxon,author,lon,lat,region_long,region,status (native/alien/IAS),comments
242365017,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,116,Plantae,,2.574416161,51.08905411,Belgium,Belgium,IAS,
242365018,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,117,Plantae,,2.57308197,51.08860779,Belgium,Belgium,IAS,
242365019,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,118,Plantae,,2.572963715,51.08865356,Belgium,Belgium,IAS,
242365020,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,119,Plantae,,2.573153973,51.08869171,Belgium,Belgium,IAS,
242365021,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,120,Plantae,,2.573233604,51.0896759,Belgium,Belgium,IAS,
242365024,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,121,Plantae,,2.573218584,51.08971024,Belgium,Belgium,IAS,
242365025,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,122,Plantae,,2.573219299,51.08972931,Belgium,Belgium,IAS,
242374255,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,123,Plantae,,2.573224783,51.08916855,Belgium,Belgium,IAS,
242405100,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,124,Plantae,,2.573282957,51.09144974,Belgium,Belgium,IAS,
242405098,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,125,Plantae,,2.573249102,51.09141922,Belgium,Belgium,IAS,
242405096,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,126,Plantae,,2.57321167,51.09139633,Belgium,Belgium,IAS,
242374261,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,127,Plantae,,2.573470116,51.08966446,Belgium,Belgium,IAS,
242405093,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,128,Plantae,,2.573211193,51.09123993,Belgium,Belgium,IAS,
242405089,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,129,Plantae,,2.573088408,51.09091949,Belgium,Belgium,IAS,
242405087,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,130,Plantae,,2.573035002,51.09090042,Belgium,Belgium,IAS,
242405086,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,131,Plantae,,2.572994709,51.09085846,Belgium,Belgium,IAS,
242405072,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,132,Plantae,,2.57303524,51.09037399,Belgium,Belgium,IAS,
242405055,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,133,Plantae,,2.573307037,51.08973694,Belgium,Belgium,IAS,
242405070,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,134,Plantae,,2.57297945,51.09030151,Belgium,Belgium,IAS,
